drug1,drug2,description,severity
Spironolactone,ACE inhibitors,Risk of hyperkalemia with combined RAAS inhibition.,Moderate
Sertraline,Risperidone,Sertraline can raise risperidone levels via enzyme inhibition.,Moderate
Atenolol,Calcium Channel Blockers,Risk of bradycardia and AV conduction delay.,Moderate
Doxycycline,Warfarin,Doxycycline may potentiate warfarin effect.,Moderate
Topiramate,Oral Contraceptives,Topiramate may slightly reduce contraceptive efficacy.,Moderate
Carvedilol,Digoxin,Increased digoxin concentration possible.,Moderate
Venlafaxine,Tramadol,Combined serotonergic effect increases serotonin syndrome risk.,Moderate
Azithromycin,Statins,Small increased risk of statin toxicity.,Moderate
Escitalopram,Omeprazole,Omeprazole may elevate escitalopram levels.,Moderate
Lorazepam,Opioids,Additive sedation and respiratory depression risk.,Moderate
Metoprolol,Diphenhydramine,Diphenhydramine inhibits CYP2D6 raising metoprolol levels.,Moderate
Sulfamethoxazole,Phenytoin,May increase phenytoin levels due to enzyme interaction.,Moderate
Clarithromycin,Calcium Channel Blockers,May enhance hypotensive effect.,Moderate
Omeprazole,Citalopram,PPIs may increase citalopram exposure.,Moderate
Acetaminophen,Ibuprofen,Common combination with no meaningful interaction.,Safe
Amoxicillin,Acetaminophen,Safe coadministration with no significant interaction.,Safe
Cetirizine,Ibuprofen,No significant pharmacological interaction.,Safe
Vitamin C,Acetaminophen,No clinically relevant interaction.,Safe
Gabapentin,Ibuprofen,No significant interaction noted.,Safe
Azithromycin,Loratadine,Safe combination with no major effects.,Safe
Levothyroxine,Acetaminophen,No harmful interaction known.,Safe
Penicillin,Ibuprofen,No significant interaction.,Safe
Amoxicillin,Loratadine,Safe; mechanisms do not interact.,Safe
Fexofenadine,Acetaminophen,No meaningful interaction.,Safe
Fluticasone,Cetirizine,Common allergy combo with no significant effects.,Safe
Acetaminophen,Antacids,No harmful interaction at therapeutic doses.,Safe
Melatonin,Ibuprofen,No clinically meaningful interaction.,Safe
Amoxicillin,Diphenhydramine,Safe combination widely used.,Safe
Naproxen,Acetaminophen,No major adverse interaction.,Safe
Loratadine,Fluticasone,Safe allergy combination.,Safe
Magnesium,Acetaminophen,No notable interaction.,Safe
Penicillin,Vitamin C,Safe combination.,Safe
Amoxicillin,Probiotics,Safe when timed appropriately.,Safe
Ranitidine,Acetaminophen,No major interaction.,Safe
Cetirizine,Vitamin C,Safe combination.,Safe
Omega‑3,Acetaminophen,No adverse interaction documented.,Safe
Calcium Carbonate,Ibuprofen,No harmful interaction.,Safe
Probiotics,Ibuprofen,No meaningful interaction.,Safe
Fluticasone,Saline Nasal Spray,No interaction.,Safe
Docusate,Acetaminophen,Safe combination.,Safe
Famotidine,Loratadine,Safe OTC combo.,Safe
Glucosamine,Acetaminophen,No interaction.,Safe
Vitamin D,Ibuprofen,No meaningful interaction.,Safe
Acetaminophen,Cyclobenzaprine,Generally safe short‑term.,Safe
Ibuprofen,Famotidine,Safe OTC combo.,Safe
Fluconazole,Cetirizine,No meaningful interaction.,Safe
Amoxicillin,Guaifenesin,Safe combination.,Safe
Ondansetron,Acetaminophen,Safe combination.,Safe
Melatonin,Acetaminophen,No meaningful interaction.,Safe
